iter	RMSE
0	27195660.06
1	26486830.65
2	25660754.16
3	24892692.39
4	24229105.23
5	23566946.42
6	22960993.58
7	22382319.44
8	21829792.12
9	21274524.19
10	20762216.46
11	20321276.31
12	19861243.16
13	19459413.25
14	19071831.78
15	18697510.76
16	18297796.13
17	18008828.72
18	17720873.81
19	17446145.27
20	17160223.01
21	16876535.43
22	16655482.24
23	16451157.92
24	16250258.71
25	16012611.04
26	15804192.11
27	15605245.06
28	15412062.2
29	15211032.53
30	15053898.1
31	14914237.38
32	14759298.08
33	14615122.07
34	14459099.53
35	14322253.58
36	14214588.23
37	14093744.28
38	13994950.06
39	13880904.03
40	13775427.54
41	13682202.86
42	13585426.75
43	13498401.34
44	13403251.3
45	13322167.59
46	13242772.79
47	13159498.73
48	13099730.4
49	13039801.11
50	12970795.13
51	12918052.48
52	12844061.14
53	12798544.72
54	12726634.87
55	12675211.93
56	12620908.53
57	12569019.51
58	12514787.93
59	12450056.03
60	12404368.97
61	12344338.7
62	12310177.66
63	12282792.78
64	12254794.83
65	12213734.92
66	12164306.76
67	12145901.03
68	12104499.06
69	12056542.77
70	12025823.72
71	11996746.03
72	11959227.57
73	11953215.45
74	11926098.61
75	11886531.81
76	11852258.29
77	11811873.57
78	11763014.02
79	11745991.66
80	11698322.56
81	11677402.92
82	11646461.27
83	11607479.03
84	11584150.62
85	11572200.19
86	11543345.24
87	11527401.57
88	11501387.78
89	11477474.09
90	11473017.57
91	11445859.72
92	11433721.05
93	11416855.83
94	11405936.57
95	11385393.76
96	11368483.6
97	11353833.32
98	11335136.29
99	11319837.7
100	11309180.36
101	11286812.6
102	11278530.1
103	11271929
104	11237001.37
105	11218861.63
106	11197729.54
107	11182497.31
108	11164595.52
109	11152121.1
110	11122591.94
111	11100202.45
112	11093794.74
113	11084513.37
114	11068619.52
115	11062493.76
116	11050132.11
117	11036704.13
118	11012225.82
119	11005258.57
120	10975070.5
121	10969306.59
122	10960535.78
123	10955410.6
124	10937026.01
125	10905299.88
126	10890804.93
127	10878156.71
128	10871112.18
129	10857396.07
130	10845936.11
131	10813558.25
132	10795894.04
133	10794471.5
134	10759537.78
135	10748487.03
136	10735520.57
137	10721397.21
138	10686545.52
139	10676701.26
140	10668944.18
141	10659918.82
142	10649790.91
143	10633786.73
144	10627595.67
145	10615578.56
146	10605064.08
147	10599484.73
148	10598434.73
149	10588103.02
150	10567340.38
151	10560692.95
152	10552703.66
153	10533172.03
154	10505711
155	10495831.15
156	10469059.39
157	10457236.68
158	10449528.86
159	10426481.81
160	10420089.83
161	10414798.18
162	10406355.73
163	10393632.42
164	10386206.61
165	10348271.75
166	10324446.2
167	10295411.78
168	10273038.24
169	10259480.36
170	10231639.41
171	10224554.35
172	10211807.36
173	10195616.22
174	10189518.1
175	10167677.45
176	10155000.11
177	10134866.61
178	10118104.1
179	10108527.39
180	10101527.78
181	10093422.71
