iter	Passed	Remaining
0	3	3457
1	6	3115
2	9	3013
3	12	3048
4	14	2947
5	19	3162
6	50	7177
7	56	7052
8	66	7369
9	74	7403
10	80	7209
11	86	7100
12	90	6876
13	94	6627
14	98	6468
15	102	6314
16	106	6130
17	112	6112
18	115	5947
19	121	5935
20	124	5799
21	127	5650
22	130	5532
23	136	5538
24	139	5426
25	141	5317
26	145	5235
27	148	5146
28	151	5056
29	154	4995
30	157	4909
31	190	5760
32	194	5712
33	203	5783
34	207	5722
35	211	5654
36	215	5609
37	219	5547
38	222	5494
39	241	5785
40	253	5926
41	277	6321
42	284	6339
43	289	6279
44	293	6230
45	300	6241
46	308	6254
47	321	6369
48	324	6288
49	326	6196
50	329	6131
51	332	6055
52	334	5985
53	337	5910
54	340	5842
55	342	5769
56	346	5726
57	348	5667
58	353	5630
59	354	5559
60	356	5485
61	357	5416
62	360	5364
63	363	5310
64	364	5249
65	366	5186
66	368	5129
67	370	5071
68	371	5014
69	373	4960
70	382	5002
71	384	4952
72	386	4904
73	387	4846
74	389	4801
75	391	4763
76	394	4723
77	396	4685
78	398	4643
79	399	4599
80	401	4556
81	403	4520
82	405	4481
83	408	4452
84	410	4421
85	412	4384
86	414	4353
87	416	4318
88	418	4281
89	420	4247
90	422	4222
91	426	4204
92	428	4176
93	431	4162
94	434	4136
95	437	4118
96	442	4115
97	444	4091
98	447	4075
99	450	4054
100	456	4061
101	459	4046
102	462	4023
103	463	3996
104	465	3968
105	468	3950
106	471	3933
107	473	3908
108	475	3885
109	477	3860
110	479	3837
111	480	3811
112	482	3785
113	484	3767
114	487	3752
115	489	3728
116	490	3704
117	492	3680
118	493	3656
119	495	3631
120	496	3608
121	499	3596
122	502	3583
123	504	3562
124	505	3541
125	507	3520
126	509	3501
127	511	3482
128	512	3462
129	515	3451
130	519	3444
131	520	3425
132	522	3406
133	523	3385
134	525	3366
135	526	3347
136	530	3341
137	532	3328
138	535	3314
139	536	3296
140	538	3279
141	539	3261
142	541	3244
143	543	3228
144	545	3216
145	548	3205
146	550	3193
147	552	3178
148	553	3159
149	555	3145
150	556	3130
151	558	3115
152	561	3105
153	563	3096
154	566	3087
155	568	3073
156	570	3062
157	572	3052
158	575	3041
159	578	3034
160	581	3032
161	584	3022
162	586	3010
163	588	3000
164	590	2987
165	596	2994
166	598	2984
167	603	2987
168	605	2976
169	608	2969
170	614	2979
171	617	2971
172	620	2965
173	624	2964
174	628	2964
175	631	2955
176	634	2950
177	636	2939
178	638	2927
179	641	2921
180	645	2920
181	647	2910
182	649	2898
183	650	2885
184	652	2873
185	653	2861
186	656	2855
187	659	2847
188	660	2835
189	662	2823
190	663	2812
191	665	2800
192	667	2791
193	669	2779
194	671	2772
195	674	2765
196	675	2755
197	677	2744
198	679	2733
199	680	2722
200	682	2712
201	683	2701
202	686	2696
203	688	2686
204	689	2675
205	691	2665
206	693	2655
207	695	2646
208	696	2636
209	698	2626
210	699	2616
211	702	2610
212	704	2602
213	706	2593
214	707	2584
215	709	2574
216	710	2565
217	712	2556
218	714	2547
219	715	2537
220	718	2533
221	720	2525
222	722	2517
223	723	2508
224	725	2499
225	727	2490
226	728	2481
227	730	2473
228	732	2464
229	734	2458
230	736	2452
231	739	2447
232	741	2440
