UTC,Temperature[C],Humidity[%],TVOC[ppb],eCO2[ppm],Raw H2,Raw Ethanol,Pressure[hPa],PM1.0,PM2.5,NC0.5,NC1.0,NC2.5,CNT
1654903121,23.31,60.13,400.0,1379.0,13004.0,19571,931.228,12479.08,28838.3,46007.05,32376.953,15710.273,116
1654903122,23.28,60.52,401.0,1363.0,13013.0,19582,931.228,12639.26,30090.07,44382.6,33846.906,16767.688000000002,117
1654903123,23.27,60.86,397.0,1372.0,13012.0,19579,931.225,12694.37,30579.66,43675.57,34423.105,17188.703,118
1654903124,23.27,61.17,399.0,1416.0,12985.0,19571,931.224,12797.7,31769.1,41668.08,35828.141,18241.555,119
1654903125,23.28,61.71,399.0,1375.0,13014.0,19574,931.219,12857.14,32268.64,40977.19,36415.52,18667.953,120
1654903126,23.27,62.47,405.0,1405.0,12998.0,19563,931.215,12944.45,33210.26,39440.16,37526.898,19496.039,121
1654903127,23.28,63.81,397.0,1391.0,12990.0,19564,931.221,13058.99,34631.77,36955.94,39207.574,20763.148,122
1654903128,23.3,64.42,408.0,1396.0,12992.0,19562,931.216,13106.11,35024.39,36416.8,39669.156,21097.883,123
1654903129,23.3,64.68,410.0,1409.0,12980.0,19563,931.225,13303.7,36681.2,34129.67,41617.215,22511.656000000003,124
1654903130,23.3,64.99,418.0,1420.0,12975.0,19555,931.224,13365.18,37179.77,33460.72,42203.066,22935.078,125
1654903131,23.32,65.0,436.0,1454.0,12959.0,19530,931.222,13416.99,37558.98,32999.67,42647.82,23252.211,126
1654903132,23.34,65.09,473.0,1574.0,12911.0,19488,931.224,13592.9,38907.2,31282.18,44230.473,24387.758,127
1654903133,23.38,65.08,468.0,1457.0,12959.0,19505,931.222,13645.67,39342.98,30688.19,44742.727,24758.828,128
1654903134,23.43,65.09,454.0,1461.0,12959.0,19511,931.22,13693.1,39728.04,30171.01,45195.203,25085.914,129
1654903135,23.43,65.26,501.0,1657.0,12900.0,19464,931.212,13696.49,39869.33,29848.14,45363.617,25219.742,130
1654903136,23.42,65.55,531.0,1759.0,12867.0,19438,931.223,12924.56,37710.77,27943.67,42912.734,23884.234,131
1654903137,24.86,65.85,532.0,1703.0,12888.0,19444,931.215,13259.27,39214.76,27342.22,44654.797,25014.695,132
1654903138,25.33,65.03,532.0,1671.0,12886.0,19438,931.206,13945.73,42242.1,26252.62,48159.18,27277.625,133
1654903139,25.55,63.95,534.0,1740.0,12864.0,19426,931.214,14073.17,43094.89,25319.7,49157.508,27980.0,134
1654903140,25.74,62.93,542.0,1710.0,12878.0,19426,931.215,14205.93,43765.07,24896.17,49936.551,28499.859,135
1654903141,25.86,62.03,546.0,1777.0,12872.0,19414,931.213,14318.17,44357.9,24472.12,50626.562000000005,28964.852000000003,136
1654903142,25.99,61.38,492.0,1475.0,12943.0,19476,931.215,10990.28,33144.88,21053.42,37779.559,21356.02,137
1654903143,26.06,60.71,499.0,1541.0,12910.0,19464,931.213,9654.1,27947.16,21428.54,31789.457,17625.797,138
1654903144,26.16,60.13,544.0,1816.0,12868.0,19425,931.214,9330.18,25042.51,25651.51,28370.426,15125.117,139
1654903145,26.22,59.53,485.0,1485.0,12936.0,19495,931.225,7628.64,19971.52,22239.78,22593.756,11877.523,140
1654903146,26.32,58.76,461.0,1909.0,12848.0,19512,931.222,4253.06,10552.35,13861.34,11900.216,6056.898,141
1654903147,26.36,58.05,474.0,2473.0,12757.0,19499,931.224,3269.42,7897.28,11194.54,8891.378,4447.818,142
1654903148,26.47,56.92,541.0,3360.0,12609.0,19421,931.208,3703.87,8279.54,14358.35,9274.987,4391.255999999999,143
1654903149,26.54,55.98,525.0,3570.0,12574.0,19441,931.196,6099.92,13346.43,24373.4,14929.164,6951.27,144
1654903150,26.57,54.29,532.0,3841.0,12541.0,19438,931.196,10045.62,22118.67,39789.49,24752.469,11582.762,145
1654903151,26.63,52.23,556.0,4012.0,12506.0,19416,931.19,11177.37,25081.62,43088.7,28104.449,13344.938,146
1654903152,26.68,50.12,574.0,4019.0,12508.0,19395,931.189,12413.01,29638.82,43368.54,33345.535,16552.359,147
1654903153,26.71,48.12,580.0,3917.0,12520.0,19388,931.194,12629.04,30834.58,42414.96,34739.043,17500.438000000002,148
1654903154,26.77,46.67,582.0,3793.0,12544.0,19379,931.191,12758.65,32092.94,40483.69,36222.055,18594.344,149
1654903155,26.81,45.57,574.0,3671.0,12567.0,19386,931.193,12750.84,32726.29,38818.23,36980.852,19216.82,150
1654903156,26.84,48.536968725454045,594.0,3586.0,12578.0,19376,931.191,12601.58,33098.86,36465.2,37451.695,19725.383,151
1654903157,26.88,44.43,551.0,3007.0,12680.0,19428,931.179,12416.09,32827.6,35385.91,37158.691,19644.641,152
1654903158,26.88,43.52,329.0,1134.0,13123.0,19646,931.175,11084.39,29072.06,32179.98,32892.645,17309.93,153
1654903159,26.83,40.74,298.0,1133.0,13128.0,19680,931.171,6892.23,17003.45,22706.42,19168.711,9721.266,154
1654903160,26.84,37.42,176.0,783.0,13313.0,19791,931.172,5688.87,13687.14,19615.21,15406.24,7686.594,155
1654903161,26.83,34.72,68.0,536.0,13441.0,19902,931.16,4260.61,9734.54,15987.74,10920.864,5255.633000000001,156
1654903162,26.87,32.16,33.0,535.0,13445.0,19936,931.141,3747.13,8347.88,14597.3,9349.401,4415.018,157
1654903163,26.99,30.03,30.0,616.0,13393.0,19943,931.122,2331.58,4719.99,10274.59,5250.2080000000005,2286.742,158
1654903164,25.71,29.9,58.0,711.0,13349.0,19920,931.135,2293.74,3861.02,12073.6,4229.319,1490.195,159
1654903165,25.26,30.4,75.0,779.0,13310.0,19901,931.126,2133.72,3325.24,11900.71,3615.63,1127.619,160
1654903166,25.07,31.06,77.0,848.0,13275.0,19900,931.11,1952.11,2951.24,11116.38,3199.085,943.33,161
1654903167,24.95,31.79,86.0,910.0,13241.0,19885,931.105,1860.31,2772.44,10694.16,3000.792,860.13,162
1654903168,24.89,32.59,103.0,972.0,13213.0,19869,931.106,1759.11,2437.48,10575.07,2617.315,634.589,163
1654903169,24.83,33.22,103.0,975.0,13210.0,19875,931.107,1756.69,2406.98,10628.74,2581.248,607.365,164
1654903170,24.78,33.6,109.0,1016.0,13188.0,19862,931.105,1753.64,2268.43,10947.82,2416.071,475.891,165
1654903171,24.73,34.17,134.0,1066.0,13158.0,19836,931.103,1646.92,1980.92,10657.16,2090.284,301.842,166
